nodes	trait1
n22262	20.8303|21.9435
n22263	24.7983|25.8136
n22264	25.4491|26.2353
n22265	28.1387|29.2129
internal_node_5701	28.4347|29.4803
internal_node_5705	29.7309|30.2691
internal_node_5728	22.5308|23.3255
n22279	27.6078|28.3922
n22284	23.8794|24.8287
n22285	19.9828|21.1639
n22287	27.8525|28.1475
internal_node_5794	19.3083|20.6917
2887326+468	30.5254|32.0311
internal_node_5820	29.253|30.1911
n22309	29.1631|30.0667
n22311	28.7856|29.914
n22312	28.5934|29.592
n22314	28.2332|29.06
n22315	28.6991|29.5262
n22316	28.7286|29.3537
n22317	29.0482|29.8679
n22318	28.8846|29.7678
n22330	28.9444|29.538
n22332	28.7442|29.3217
n22333	29.6888|30.3112
n22336	29.0889|29.9687
n22343	29.8123|30.1877
n22355	27.9123|28.8187
n22357	28.665|29.8195
n22365	28.5452|29.2243
n22379	29.278|30.2104
n22381	28.7921|29.4786
internal_node_6025	32.7627|34.1659
n22399	30.1328|31.9035
n22401	27.0188|28.0806
n22407	21.7622|22.2378
n22465	33.1187|34.5888
n22466	27.2511|29.396
568386	27.7838|29.258
n22474	28.7971|29.4463
n22475	29.8172|30.001
n22484	27.6069|28.3931
135615+255526	36.7343|38.4149
3018589	28.3916|29.6626
n22519	39.6984|41.3299
868	36.3111|37.6889
n22526	34.5495|35.7926
n22527	32.0189|33.7135
n22528	36.7098|37.8968
206389+2008794+75787	28.5672|29.5683
n22530	29.0961|30.4199
n22531	29.7896|30.8481
32003	28.8857|30.159
n22533	30.0835|31.4793
internal_node_6365	31.2276|32.2061
n22537	31.6912|32.5207
n22538	33.0524|34.0206
n22539	32.1507|33.41
80864	30.1564|31.1958
n22545	28.4595|29.3981
n22546	26.9036|28.1272
n22548	25.0481|25.9343
n22550	21.6773|22.736
n22553	20.1581|20.8276
internal_node_6391	26.3577|27.2822
internal_node_6396	28.0525|29.1297
n22558	28.4853|29.7695
n22565	32.6274|33.8432
n22618	18.2922|18.9065
internal_node_6587	27.9581|29.2322
n22633	27.7083|28.4003
n22635	25.6959|26.7086
n22636	25.1907|26.0524
n22637	22.8139|23.8003
n22640	21.4049|22.0183
internal_node_6623	25.7104|26.447
n22662	27.7741|28.2259
internal_node_6667	29.0069|29.8006
n22670	27.2811|27.7205
internal_node_6842	31.0918|32.0735
n22763	24.9079|25.0921
internal_node_6960	34.1663|35.4581
n22815	36.2103|37.7897
n22822	33.6379|34.9174
internal_node_7075	33.075|34.1869
internal_node_7081	31.3016|32.3807
n22830	27.5062|28.5694
n22835	27.5421|28.6984
n22844	28.0357|29.1073
n22845	27.4768|28.5232
n23004	34.3128|35.5077
n23006	32.8418|33.9054
n23011	36.6084|37.3916
n23033	36.7697|37.2303
n23034	36.7051|37.2949
n23037	36.8715|37.1285
n23042	36.7991|37.2009
internal_node_7699	30.3774|31.7607
n23097	28.7059|29.1368
internal_node_7727	36.5893|37.4107
n23110	29.3787|30.6121
n23112	31.4943|32.7674
n23116	28.032|28.8234
n23120	26.0934|27.1318
n23124	24.6128|25.5093
n23127	27.1296|27.885
n23170	19.805|20.5443
n23173	27.258|28.2714
n23176	24.8149|25.5475
n23179	28.3807|29.1916
n23193	22.4641|22.9825
n23253	28.9283|29.5512
n23256	38.1916|38.8293
n23259	41.4512|42.088
n23262	29.1359|29.6016
n23266	28.968|29.3335
n23274	62.4604|63.0576
n23275	30.708|31.187
n23280	36.7869|37.2131
n23284	27.9099|28.3635
n23320	26.8178|28.0755
n23321	27.4694|28.5356
n23324	27.1127|27.7742
n23325	26.5494|27.1846
n23329	26.0362|26.4237
n23330	24.9674|25.4657
internal_node_8238	28.0054|28.9023
n23354	26.2055|26.554
n23387	30.8547|32.0958
n23389	32.9752|34.1528
n23391	33.3542|34.8959
1499392	33.1777|34.3002
n23395	36.319|37.6248
n23398	36.4243|37.4817
n23402	36.6295|37.2517
n23403	36.5427|37.2854
n23406	36.3506|37.0152
n23408	36.0957|36.6847
n23409	35.2794|35.8883
n23412	34.6973|35.3553
n23413	35.9672|36.8776
n23414	36.3867|36.6473
n23416	36.4723|36.5277
n23417	33.84|34.2453
n23418	36.7534|37.0794
n23419	36.5388|37.0451
internal_node_8408	36.5173|37.4136
n23426	36.3798|37.4234
n23427	36.5006|37.2335
n23428	36.2177|37.1751
n23437	36.5318|37.4682
n23534	27.0557|27.7346
n23595	30.9709|31.9493
n23596	25.9947|27.1445
internal_node_8921	27.5457|28.4543
n23626	27.8801|28.7134
internal_node_8994	29.497|30.2859
n23631	29.3865|30.0394
n23638	29.1693|29.5834
n23643	26.9561|27.9124
internal_node_9033	26.7656|27.6326
n23669	26.7008|28.3701
internal_node_9108	26.419|27.5365
internal_node_9113	25.6977|26.8193
n23679	26.4861|27.5944
n23682	31.9312|32.9302
n23684	32.507|33.5551
n23689	27.4944|28.4056
n23696	27.2496|27.3261
n23697	25.1991|25.3778
n23722	31.6333|32.4918
n23812	31.0446|32.0958
n23818	36.6344|37.3656
internal_node_9474	21.3302|22.499
n23859	24.1464|25.1964
n23880	28.2245|29.3242
n23905	27.3594|28.8019
n23921	27.831|28.7804
n23924	28.2078|28.8442
n23972	36.3692|37.7713
n23985	20.2367|21.4783
internal_node_9814	16.6665|17.6194
internal_node_9818	30.7309|31.7455
n23996	29.6684|30.3316
n23997	31.3368|32.0377
n24010	26.9597|28.407
internal_node_9875	16.2554|17.2591
n24016	-0.4406|0.4406
n24023	32.5372|33.7786
internal_node_9972	19.6606|20.6523
n24043	20.4539|21.4176
n24044	27.6471|28.3529
n24048	18.9902|19.1374
internal_node_10006	37.7484|38.6751
n24054	27.7121|28.2256
n24055	24.6195|25.3805
n24068	27.4341|28.697
internal_node_10062	26.7438|27.715
n24070	27.4011|28.3674
n24071	27.2811|29.0709
n24072	26.5411|27.7264
45401	26.0883|27.0456
204455+2813035+31989	25.7229|26.5258
n24076	27.7589|28.991
n24078	26.7202|28.2403
internal_node_10080	26.9278|28.2151
internal_node_10097	26.7834|27.5449
internal_node_10104	26.8122|27.628
internal_node_10107	26.3523|27.1555
n24089	25.6078|26.5031
n24090	18.2139|19.2355
n24093	11.6561|12.9395
internal_node_10263	23.2766|24.1219
n24151	22.3088|23.0203
n24153	24.1651|25.0065
n24158	24.8236|25.1764
n24165	24.3933|25.0312
n24180	38.2466|39.6187
internal_node_10389	29.8405|30.1595
n24263	27.8554|29.0793
n24264	28.0701|29.3322
internal_node_10630	27.4747|28.5351
internal_node_10633	28.5886|29.6914
n24288	28.4452|29.6228
n24293	27.7981|29.1388
n24299	25.9764|26.6734
n24308	29.5495|30.4505
n24323	28.6717|29.8214
n24364	28.8339|29.9374
n24372	24.3126|26.1402
n24375	27.4384|28.7389
n24445	26.4163|27.7083
n24446	26.3633|27.5358
n24448	22.8858|23.8336
n24462	19.6396|20.3604
n24478	31.6382|32.9452
n24480	27.8296|29.0836
n24486	28.957|29.5299
internal_node_11171	41.8411|43.0599
n24531	27.2125|28.2185
n24536	26.2561|27.3074
n24538	27.3148|28.5434
n24542	26.7832|28.2168
n24624	27.4794|28.6027
internal_node_11564	24.6365|26
internal_node_11630	24.4551|25.7401
n24693	20.6694|21.7445
2800060+69657	26.7388|28.1575
internal_node_11861	21.3921|22.5614
n24760	29.7597|30.9483
n24762	30.0248|30.9259
n24763	32.6855|33.5812
n24765	34.6384|35.4392
n24803	10.0505|11.151
internal_node_11954	28.5351|30.3475
2800059	28.3813|29.6014
n24838	27.668|29.2222
n24839	27.3248|28.6752
n24840	27.2424|28.7576
n24853	27.3882|28.6118
n24883	29.3288|30.6712
n24901	28.2412|29.6534
n24902	27.3868|29.1034
internal_node_12217	27.0096|28.4889
n24905	27.3218|28.0792
internal_node_12224	27.172|28.1645
n24908	26.0641|27.172
n24911	31.0571|32.0236
n24912	26.922|28.0081
n24913	28.9423|30.4563
n25012	28.6541|30.1229
n25040	25.0815|26.6201
n25114	24.1861|25.189
n25119	19.7525|20.4665
n25120	19.7492|20.6183
n25123	28.066|28.8277
n25125	28.3284|29.2237
n25164	27.953|29.1954
n25202	28.2072|29.4678
n25220	27.2092|28.2455
n25222	23.7212|24.6131
n25223	23.9812|25.034
n25224	23.3336|24.1863
n25246	22.7113|23.9261
n25253	28.4697|29.1688
n25412	28.3282|28.9703
internal_node_13426	24.2071|25.2003
n25447	22.9311|24.0451
n25448	26.4536|27.8913
n25450	27.2084|28.1583
335928	27.6108|28.538
n25453	26.7813|28.3703
45404	26.8615|28.0751
n25457	30.0446|31.3553
119045	32.0451|33.6619
n25462	26.5732|27.5678
n25463	23.2895|24.6146
n25487	28.8434|29.7499
n25493	27.57|28.43
n25494	27.8381|28.1619
n25548	27.7212|28.2788
n25565	26.2694|27.2355
internal_node_13684	25.795|26.6734
n25569	20.9227|21.7684
n25575	21.374|22.2052
internal_node_13745	26.8403|27.7287
n25592	26.7908|27.4337
n25601	28.0246|28.8827
internal_node_13893	28.2821|28.9507
n25657	28.6618|29.2862
n25660	27.7214|28.2786
n25700	28.219|29.6706
n25701	28.5983|29.9708
n25763	26.5469|27.8508
internal_node_14162	26.2397|27.0785
n25803	15.2115|16.8093
internal_node_14323	17.4723|17.5277
n25826	25.2909|26.7008
n25845	26.366|27.6591
internal_node_14409	26.1197|27.1513
n25853	25.4021|26.3779
n25854	24.2269|25.2381
n25855	29.4839|30.5152
internal_node_14421	29.0367|29.9089
internal_node_14429	28.3516|29.3905
internal_node_14435	26.3445|27.5967
n25865	21.6134|22.7685
n25867	19.6337|20.4842
n25871	27.9593|28.6016
n25874	27.7732|28.7313
n25888	28.1685|28.5071
n25905	25.4224|26.1707
n25908	24.9339|25.2353
n25913	28.1132|28.6583
n25915	29.5843|30.4157
internal_node_14564	13.4888|14.5658
255475	27.2559|28.7441
internal_node_14652	27.5666|28.4334
n25989	27.9435|28.0565
n26010	29.367|30.633
n26014	29.7619|30.2381
n26016	29.9661|30.0339
n26049	29.6408|30.3592
n26086	29.4333|30.411
n26091	25.0781|25.6991
n26125	35.355|36.0293
n26128	34.6785|35.0406
n26129	33.352|33.6887
n26130	36.7791|37.2209
n26131	36.7963|37.2037
n26132	36.6799|37.3201
n26151	36.6864|37.3136
n26152	36.7695|37.2305
n26186	16.6097|17.7306
n26282	27.8087|28.1913
2831106	26.6306|27.8479
n26289	26.0242|27.4189
n26337	27.5161|29.2156
n26375	34.9428|35.3575
2844601	26.9788|28.1387
2066434	26.5144|27.8767
n26421	27.4291|28.7344
n26422	29.1006|30.3592
n26423	35.2496|36.8073
n26425	41.1643|42.5241
433	29.7423|31.2897
n26434	30.6996|31.6646
n26435	29.025|29.7208
n26437	28.637|29.4243
n26439	29.199|30.3296
n26441	29.2212|30.1731
internal_node_15750	29.6516|30.3484
n26445	29.5854|30.4146
n26463	29.6565|30.3435
n26465	29.5279|30.4721
n26477	28.2434|29.3693
internal_node_15824	28.688|29.3352
n26480	27.0218|27.8164
internal_node_15914	28.3582|28.7622
n26512	28.863|29.1815
n26513	29.1756|29.4911
internal_node_15943	29.2756|30.1742
n26521	28.7593|29.3381
n26523	27.8652|28.1348
n26539	29.8421|30.1579
n26646	30.1808|32.3192
2844864	21.2986|22.3663
n26666	28.2616|29.4686
2829815	22.7208|24.1943
n26680	29.3578|30.6422
n26715	16.876|17.5855
n26745	27.3389|28.6611
n26757	24.935|26.3903
n26759	28.434|29.6203
n26760	27.6947|28.7733
n26761	26.6997|27.7914
n26762	25.5101|26.4506
n26780	14.9925|15.6223
n26781	16.1524|16.7652
n26786	12.3268|12.6906
n26796	41.9563|43.8948
200930+68337+191393	48.7985|50.2373
n26798	44.2674|46.1358
n26806	51.9922|53.5266
n26813	37.5585|38.4316
n26814	40.123|41.463
29547	50.9939|52.8346
3031852+235899	41.5474|42.7935
n26817	43.3212|44.7356
n26819	30.0085|31.3772
n26820	28.6213|29.7644
n26821	30.5916|32.0384
internal_node_16785	29.8239|31.3276
internal_node_16789	36.3506|37.6494
n26825	36.4142|37.5858
n26827	36.4101|37.5899
n26830	36.8041|37.196
n26831	36.5664|37.4337
n26834	36.5096|37.4914
n26837	36.9285|37.0746
n26838	36.7805|37.2232
n26841	36.7933|37.6671
n26846	37.6202|38.5223
n26848	38.7194|39.526
n26864	36.4947|37.5053
n26865	36.5956|37.4044
n26866	36.4844|37.5156
n26876	27.7893|28.3001
n26877	27.7444|28.4689
n26879	25.4733|25.9534
internal_node_16910	32.0922|33.2297
n26885	25.1512|26.4321
internal_node_16921	26.9586|27.902
n26892	32.9403|33.6434
n26915	26.0152|27.7677
2771471	21.8707|23.2238
internal_node_16989	19.5747|20.6042
n26919	22.5521|23.6824
72293	36.4013|37.5987
n26934	36.5559|37.4441
n26935	36.4257|37.5743
n26936	36.4786|37.5214
n26937	36.6128|37.3872
n26939	36.7811|37.2189
n26940	36.7583|37.2417
n26964	36.3663|37.6337
n26988	38.7316|40.4758
internal_node_17156	46.0434|47.1959
internal_node_17165	34.6867|35.7709
3031853+213113	57.8589|59.4265
n27004	60.4546|61.5165
3031449+213115+2956789	35.6777|36.8295
n27006	33.0859|34.3991
n27007	32.1505|33.4044
internal_node_17206	30.4255|31.5587
n27009	31.6432|33.077
n27012	28.2294|29.4969
n27014	27.5106|28.929
n27016	32.7129|33.8245
n27017	30.5253|31.7275
n27018	32.5879|33.4645
n27023	29.2117|30.2917
n27027	36.3129|37.6871
n27030	18.1348|19.4837
n27045	28.8528|30.1423
n27048	28.5577|29.6952
n27076	29.2784|30.7216
n27077	29.2797|30.7203
n27117	41.885|43.6156
28221	34.9987|36
n27124	29.444|30.5396
n27125	30.0655|31.5594
n27126	31.4014|32.3765
n27127	32.5452|33.7379
n27128	31.0635|32.3872
3024418+213118+213119	29.6038|31.1857
internal_node_17512	28.2559|29.4079
n27132	28.2972|29.3892
n27133	25.4769|27.0415
n27136	26.7411|28.3455
n27138	23.9292|25.3174
n27140	28.2946|29.2601
n27147	29.4143|30.5857
n27163	29.7646|31.038
n27167	31.0707|32.3981
internal_node_17650	28.6383|28.9634
n27184	36.1181|37.8819
n27188	28.8803|30.7158
3031451+3024411+213121	29.1027|30.3815
n27190	25.4315|26.9008
internal_node_17696	21.8558|23.5615
3018035	25.2431|27.6349
internal_node_17871	27.9667|29.3105
internal_node_17874	28.3877|29.3504
n27244	26.8693|28.1181
n27245	24.0135|25.0858
internal_node_17922	21.7686|22.4431
n27265	29.9098|30.0902
n27275	29.4138|30.5862
n27285	27.5113|29.0251
internal_node_17979	29.3247|30.6753
n27309	40.6902|42.3685
n27310	33.3213|35.0353
2818505+32015+29	27.9084|29.4536
n27313	28.1286|29.8226
39	29.3234|30.3608
internal_node_18055	28.9469|29.7345
internal_node_18059	28.4245|29.2218
internal_node_18062	28.0303|28.6535
n27346	29.6094|30.3906
n27350	29.7505|30.2495
n27363	27.5973|29.4121
n27391	28.9649|31.0351
n27407	68.2031|69.6889
internal_node_18314	66.3345|67.4338
n27412	64.7944|65.2056
internal_node_18333	69.5728|70.4272
n27417	39.2847|40.5684
n27418	41.8115|43.0459
n27419	40.5771|41.5634
internal_node_18354	42.0165|43.1237
544448+31969+526524+526525	36.563|38.1345
n27423	39.0251|40.4967
internal_node_18361	31.6766|32.9242
internal_node_18366	32.4746|33.2823
