nodes	trait1
83763	38.019668883232
internal_node_1578	37.9540237510781
n20471	38.063164392017
135623+641	26.0069553496403
n20478	25.6500928763478
n20479	27.3444825980575
n20480	27.0160129512533
n20481	27.7729852035401
n20483	27.2733794250371
n20488	27.1008206940339
n20489	26.1972736506495
n20490	26.8240254010057
n20494	28
n20495	28
n20506	28
n20513	25.2552838916924
n20518	25.821478944187
n20549	28.0919481669152
n20551	28.1823009243956
n20552	28.746064186602
n20554	29.3336147205327
n20555	28.4717971141233
n20562	28
n20564	27.9972657710195
n20565	27.903541472507
n20582	27.404929776859
n20584	26.7888318356868
n20612	28.1099596567725
n20620	25.0215053763441
internal_node_1925	20.1230259001895
n20638	26.4185589474013
n20640	26.5922701702306
n20650	25.353115727003
n20663	26.9517967960745
267890	21.5093877463426
n20717	24.3345657374543
internal_node_2129	22.2204383749206
n20719	17.4704466780853
n20720	15.3565480914399
n20722	17.8471749709355
n20723	15.902017242476
n20724	5.79558404558405
n20759	12.2307862921783
n20762	15.0384760467748
n20763	17.5
n20767	6.20462361119382
n20768	8.12668024439919
n20772	20.7723577235772
n20778	28.099554109649
n20779	33.8657306432604
n20780	33.9961600787388
n20782	36.0511945392491
n20794	13.8039281800556
n20826	18.7607955590485
267894	20.3818160862671
n20828	23.9215476783845
n20830	21.9776526387963
n20831	13.8665115931648
n20866	10
n20867	10
n20871	10
n20872	10
n20880	20.2041613054901
n20883	10.5746691871456
n20936	27.1473710217604
n20937	26.6371166799182
n20938	27.0759027691754
n20944	27.836188557782
n20946	25.7355083692531
n20947	25.6511898460291
n20949	23.9072279080152
n20950	24.7645072451048
n20952	23.5490242942198
n20953	25.3512071869736
n20974	26.016987830084
n20976	26.0361829848893
n20979	28
n20990	11.4165465519143
n20991	15.1259164807141
internal_node_2757	14.4610314075223
n21017	30.7290236395267
n21019	31.8623504841466
n21047	28
n21048	28
internal_node_2898	16.3025773626679
n21068	18.3557010693224
internal_node_2910	31.6869082910969
n21110	13.0779839335196
n21111	19.7665393084405
n21113	24.1986711001395
n21115	23.5667136454902
n21116	22.0908183632735
internal_node_3071	30.0824981692697
n21136	28.1341059775154
n21137	26.0409932979258
n21140	29.0147740302137
n21147	28.1220497349473
n21168	28.1537299913525
n21171	28.5269761606023
n21200	29.7492906689619
n21205	33.0429055325555
n21245	23.1366469386686
n21306	23.2453130147246
internal_node_3450	22.496199249978
n21309	20.6854716644758
n21310	24.2541480796139
n21350	23.9111912836403
n21362	22.8667356040817
n21363	28
n21366	19.2523331185386
n21370	13.0370548027341
n21397	25.5106412287348
n21440	25.9080296129711
n21441	28.4710008555976
n21442	29.7344661020113
internal_node_3784	29.5045371968898
internal_node_3790	32.811850037145
n21449	30.4690796324269
n21451	28.7215957389015
n21454	29.2808625460606
n21457	27.4939875558002
n21458	25.8582354548929
n21460	26.4830799083792
n21462	26.7466531220008
n21472	28.8910160846631
n21474	25.5658322428131
n21484	26.0909090909091
n21527	26
n21565	29.6235691793395
n21567	25.9575871819039
n21632	28.5712347352706
n21634	28.0552406826854
n21635	28.065489133866
n21637	29.2821454550434
n21638	27.1883668903803
n21652	29.5147679324895
n21682	33.8319467554076
n21705	35.3282555667612
n21710	32.4961995433215
n21711	33.5682508436894
n21712	30.6636151799417
n21727	31.5094786729858
n21763	37
224379+2898533	29.8272339857564
n21806	31.2737718859235
n21807	33.7841325747622
n21812	36.3285808734373
n21815	34.8336984664188
n21817	36.3205157256009
n21821	35.0246177766261
n21875	28
n21900	25.3792918073296
1706375	22.7016736659376
internal_node_4754	20.9073427954494
n21904	28
n21924	14.5122418565042
n21950	24.5793499075071
n21962	28
n21972	23.4923825895526
n21977	28
internal_node_5001	31.5521954056412
internal_node_5071	21.6788074746191
n22031	16.7049102229656
n22034	25.9577205882353
n22039	32.3272450879115
n22042	34.3615746516958
n22045	33.8789745627981
n22114	34.9647137722776
n22115	37
n22141	30
n22144	25.1632639180999
n22145	25.7364395762282
n22148	25.866882311007
n22152	17.1697436983315
n22153	17.8673547887642
n22154	10.6296958872276
internal_node_5421	19.6131368314064
n22185	15.2164804469274
n22202	25.6465299411993
n22205	31.9834267062013
n22208	22.246003005392
n22217	30
n22233	22.6121212121212
n22241	24.4434416402319
internal_node_5649	23.7871607106442
n22244	25
n22251	22.6893396976929
n22259	20.8721670753082
n22262	21.2594221539461
n22263	24.8420530388603
n22264	25.1337100531259
n22265	28
internal_node_5728	22.9281717678559
n22279	28
n22284	24.3540243647415
n22285	20.5733740056922
n22287	28
n22292	9.348725526413
internal_node_5794	20
2887326+468	31.1422049362997
internal_node_5820	29.8411713309305
n22309	29.7791898724258
n22311	29.3378543091635
n22312	29.0761192775182
n22314	28.6221649812199
n22315	29.0696294078451
n22316	28.9749072133377
n22317	29.3405550323589
n22318	29.1877863071372
n22319	28.9517906336088
n22330	29.2411697737493
n22332	29.0329691859089
n22333	30
n22336	29.5287812624057
n22343	30
n22355	28.3655069210625
n22357	29.2422685698076
n22365	28.8847435043304
n22379	30
internal_node_6025	32.874196491367
n22399	30.6403764538478
n22407	22
n22444	37
n22465	33.6759480594418
n22466	28.520505451896
568386	28.811789946423
n22469	28.6771107261865
n22474	29.1217071473541
n22475	29.9090909090909
n22482	28.9359378355088
n22484	28
135615+255526	37.2776764056462
3018589	29.027109293256
n22519	40.0688031630604
868	36.3279647367975
n22526	35.3196392544426
n22527	33.1871635277432
n22528	37.482061901175
206389+2008794+75787	29.0267819032371
n22531	29.8041831063887
32003	28.6358776360207
n22533	29.4358425777965
internal_node_6365	31.115151778428
n22537	32.2366965016827
n22538	33.5736264769739
n22539	32.7743713129565
80864	30.6670952530568
n22545	28.9025408430779
n22546	27.454352977147
n22548	25.3801416487613
n22550	22.1980154663158
n22553	20.4819513849167
internal_node_6391	26.7579317097397
internal_node_6396	28.455976650737
n22558	28.8612511831741
n22564	31.4843916456789
n22565	33.235343035343
