Attribute_group	Rank	Fold	Attribute	PosNeg	n
growth_temperature	species	Fold10	thermophile	FN	4
growth_temperature	species	Fold10	thermophile	TN	304
growth_temperature	species	Fold2	hyperthermophile	TP	7
growth_temperature	species	Fold2	hyperthermophile	FP	0
growth_temperature	species	Fold2	hyperthermophile	FN	1
growth_temperature	species	Fold2	hyperthermophile	TN	304
growth_temperature	species	Fold2	mesophile	TP	252
growth_temperature	species	Fold2	mesophile	FP	0
growth_temperature	species	Fold2	mesophile	FN	14
growth_temperature	species	Fold2	mesophile	TN	46
growth_temperature	species	Fold2	psychrophile	TP	19
growth_temperature	species	Fold2	psychrophile	FP	0
growth_temperature	species	Fold2	psychrophile	FN	13
growth_temperature	species	Fold2	psychrophile	TN	280
growth_temperature	species	Fold2	thermophile	TP	5
growth_temperature	species	Fold2	thermophile	FP	0
growth_temperature	species	Fold2	thermophile	FN	3
growth_temperature	species	Fold2	thermophile	TN	304
growth_temperature	species	Fold3	hyperthermophile	TP	4
growth_temperature	species	Fold3	hyperthermophile	FP	0
growth_temperature	species	Fold3	hyperthermophile	FN	3
growth_temperature	species	Fold3	hyperthermophile	TN	304
growth_temperature	species	Fold3	mesophile	TP	268
growth_temperature	species	Fold3	mesophile	FP	0
growth_temperature	species	Fold3	mesophile	FN	10
growth_temperature	species	Fold3	mesophile	TN	33
growth_temperature	species	Fold3	psychrophile	TP	11
growth_temperature	species	Fold3	psychrophile	FP	0
growth_temperature	species	Fold3	psychrophile	FN	12
growth_temperature	species	Fold3	psychrophile	TN	288
growth_temperature	species	Fold3	thermophile	TP	2
growth_temperature	species	Fold3	thermophile	FP	0
growth_temperature	species	Fold3	thermophile	FN	2
growth_temperature	species	Fold3	thermophile	TN	307
growth_temperature	species	Fold4	hyperthermophile	TP	8
growth_temperature	species	Fold4	hyperthermophile	FP	0
growth_temperature	species	Fold4	hyperthermophile	FN	3
growth_temperature	species	Fold4	hyperthermophile	TN	300
growth_temperature	species	Fold4	mesophile	TP	260
growth_temperature	species	Fold4	mesophile	FP	0
growth_temperature	species	Fold4	mesophile	FN	12
growth_temperature	species	Fold4	mesophile	TN	39
growth_temperature	species	Fold4	psychrophile	TP	15
growth_temperature	species	Fold4	psychrophile	FP	0
growth_temperature	species	Fold4	psychrophile	FN	12
growth_temperature	species	Fold4	psychrophile	TN	284
growth_temperature	species	Fold4	thermophile	TP	0
growth_temperature	species	Fold4	thermophile	FP	0
growth_temperature	species	Fold4	thermophile	FN	3
growth_temperature	species	Fold4	thermophile	TN	308
growth_temperature	species	Fold5	hyperthermophile	TP	9
growth_temperature	species	Fold5	hyperthermophile	FP	0
growth_temperature	species	Fold5	hyperthermophile	FN	3
growth_temperature	species	Fold5	hyperthermophile	TN	299
growth_temperature	species	Fold5	mesophile	TP	258
growth_temperature	species	Fold5	mesophile	FP	0
growth_temperature	species	Fold5	mesophile	FN	8
growth_temperature	species	Fold5	mesophile	TN	45
growth_temperature	species	Fold5	psychrophile	TP	16
growth_temperature	species	Fold5	psychrophile	FP	0
growth_temperature	species	Fold5	psychrophile	FN	13
growth_temperature	species	Fold5	psychrophile	TN	282
growth_temperature	species	Fold5	thermophile	TP	1
growth_temperature	species	Fold5	thermophile	FP	0
growth_temperature	species	Fold5	thermophile	FN	4
growth_temperature	species	Fold5	thermophile	TN	306
growth_temperature	species	Fold6	hyperthermophile	TP	6
growth_temperature	species	Fold6	hyperthermophile	FP	0
growth_temperature	species	Fold6	hyperthermophile	FN	1
growth_temperature	species	Fold6	hyperthermophile	TN	304
growth_temperature	species	Fold6	mesophile	TP	260
growth_temperature	species	Fold6	mesophile	FP	0
growth_temperature	species	Fold6	mesophile	FN	8
growth_temperature	species	Fold6	mesophile	TN	43
growth_temperature	species	Fold6	psychrophile	TP	13
growth_temperature	species	Fold6	psychrophile	FP	0
growth_temperature	species	Fold6	psychrophile	FN	12
growth_temperature	species	Fold6	psychrophile	TN	286
growth_temperature	species	Fold6	thermophile	TP	3
growth_temperature	species	Fold6	thermophile	FP	0
growth_temperature	species	Fold6	thermophile	FN	9
growth_temperature	species	Fold6	thermophile	TN	299
growth_temperature	species	Fold7	hyperthermophile	TP	11
growth_temperature	species	Fold7	hyperthermophile	FP	0
growth_temperature	species	Fold7	hyperthermophile	FN	0
growth_temperature	species	Fold7	hyperthermophile	TN	300
growth_temperature	species	Fold7	mesophile	TP	262
growth_temperature	species	Fold7	mesophile	FP	0
growth_temperature	species	Fold7	mesophile	FN	11
growth_temperature	species	Fold7	mesophile	TN	38
growth_temperature	species	Fold7	psychrophile	TP	16
growth_temperature	species	Fold7	psychrophile	FP	0
growth_temperature	species	Fold7	psychrophile	FN	4
growth_temperature	species	Fold7	psychrophile	TN	291
growth_temperature	species	Fold7	thermophile	TP	2
growth_temperature	species	Fold7	thermophile	FP	0
growth_temperature	species	Fold7	thermophile	FN	7
growth_temperature	species	Fold7	thermophile	TN	302
growth_temperature	species	Fold8	hyperthermophile	TP	11
growth_temperature	species	Fold8	hyperthermophile	FP	0
growth_temperature	species	Fold8	hyperthermophile	FN	0
growth_temperature	species	Fold8	hyperthermophile	TN	300
growth_temperature	species	Fold8	mesophile	TP	256
growth_temperature	species	Fold8	mesophile	FP	0
growth_temperature	species	Fold8	mesophile	FN	12
growth_temperature	species	Fold8	mesophile	TN	43
growth_temperature	species	Fold8	psychrophile	TP	10
growth_temperature	species	Fold8	psychrophile	FP	0
growth_temperature	species	Fold8	psychrophile	FN	12
growth_temperature	species	Fold8	psychrophile	TN	289
growth_temperature	species	Fold8	thermophile	TP	4
growth_temperature	species	Fold8	thermophile	FP	0
growth_temperature	species	Fold8	thermophile	FN	8
growth_temperature	species	Fold8	thermophile	TN	299
growth_temperature	species	Fold9	hyperthermophile	TP	5
growth_temperature	species	Fold9	hyperthermophile	FP	0
growth_temperature	species	Fold9	hyperthermophile	FN	1
growth_temperature	species	Fold9	hyperthermophile	TN	305
growth_temperature	species	Fold9	mesophile	TP	262
growth_temperature	species	Fold9	mesophile	FP	0
growth_temperature	species	Fold9	mesophile	FN	8
growth_temperature	species	Fold9	mesophile	TN	41
growth_temperature	species	Fold9	psychrophile	TP	15
growth_temperature	species	Fold9	psychrophile	FP	0
growth_temperature	species	Fold9	psychrophile	FN	14
growth_temperature	species	Fold9	psychrophile	TN	282
growth_temperature	species	Fold9	thermophile	TP	3
growth_temperature	species	Fold9	thermophile	FP	0
growth_temperature	species	Fold9	thermophile	FN	5
